Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,20.9,18.2,51,SSE,15 8,22 12,1011.8,0.0,2024-01-24
11:00 pm,21.5,18.5,50,SSE,17 9,32 17,1011.9,0.0,2024-01-24
10:30 pm,21.9,19.5,56,SSE,17 9,26 14,1012.0,0.0,2024-01-24
10:00 pm,22.0,20.8,60,S,13 7,28 15,1012.0,0.0,2024-01-24
9:30 pm,21.8,20.2,65,SSE,17 9,28 15,1011.9,0.0,2024-01-24
9:00 pm,21.9,20.2,64,S,17 9,32 17,1011.7,0.0,2024-01-24
8:30 pm,22.0,19.9,63,S,19 10,30 16,1011.5,0.0,2024-01-24
8:00 pm,22.1,20.0,63,S,19 10,33 18,1011.3,0.0,2024-01-24
7:30 pm,22.3,20.1,61,S,19 10,32 17,1011.1,0.0,2024-01-24
7:00 pm,22.8,21.4,59,S,15 8,28 15,1010.7,0.0,2024-01-24
6:30 pm,23.4,21.0,57,S,20 11,39 21,1010.5,0.0,2024-01-24
6:00 pm,24.3,21.8,53,SSW,20 11,37 20,1010.5,0.0,2024-01-24
5:30 pm,24.9,22.7,52,S,19 10,30 16,1010.3,0.0,2024-01-24
5:00 pm,24.9,21.2,50,SSW,26 14,39 21,1010.4,0.0,2024-01-24
4:30 pm,24.9,21.5,50,SSW,24 13,41 22,1010.8,0.0,2024-01-24
4:00 pm,25.1,21.8,53,S,26 14,46 25,1010.8,0.0,2024-01-24
3:30 pm,25.7,23.0,50,S,22 12,39 21,1010.9,0.0,2024-01-24
3:00 pm,25.5,21.7,48,S,26 14,43 23,1010.8,0.0,2024-01-24
2:30 pm,26.2,23.0,48,S,24 13,39 21,1011.1,0.0,2024-01-24
2:00 pm,26.8,23.6,46,S,24 13,44 24,1011.1,0.0,2024-01-24
1:30 pm,27.2,24.5,46,SSW,22 12,39 21,1011.3,0.0,2024-01-24
1:00 pm,26.7,23.8,46,S,22 12,35 19,1011.6,0.0,2024-01-24
12:30 pm,27.1,23.8,41,SSW,22 12,35 19,1011.7,0.0,2024-01-24
12:00 pm,27.9,25.5,36,SSW,15 8,28 15,1011.9,0.0,2024-01-24
11:30 am,27.3,24.6,35,S,15 8,24 13,1012.3,0.0,2024-01-24
11:00 am,26.5,24.7,41,S,13 7,26 14,1012.8,0.0,2024-01-24
10:30 am,25.2,23.1,45,SSE,15 8,24 13,1013.1,0.0,2024-01-24
10:00 am,24.1,22.2,50,SSE,15 8,28 15,1013.5,0.0,2024-01-24
9:30 am,22.8,20.4,53,SSE,17 9,26 14,1013.8,0.0,2024-01-24
9:00 am,22.7,21.3,56,SSE,13 7,22 12,1014.0,0.0,2024-01-24
8:30 am,21.8,20.3,58,SSE,13 7,22 12,1014.0,0.0,2024-01-24
8:00 am,21.0,18.7,60,SSE,17 9,28 15,1014.0,0.0,2024-01-24
7:30 am,20.3,18.5,64,SSE,15 8,26 14,1014.2,0.0,2024-01-24
7:00 am,19.3,17.9,69,SSE,13 7,26 14,1014.1,0.0,2024-01-24
6:30 am,18.3,16.9,73,SSE,13 7,22 12,1013.8,0.0,2024-01-24
6:00 am,17.8,16.3,74,SSE,13 7,20 11,1013.7,0.0,2024-01-24
5:30 am,17.6,16.4,74,SSE,11 6,17 9,1013.4,0.0,2024-01-24
5:00 am,18.0,16.0,71,SSE,15 8,28 15,1013.0,0.0,2024-01-24
4:30 am,18.3,15.9,69,SSE,17 9,28 15,1012.8,0.0,2024-01-24
