Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:30 am,13.9,14.7,91,CALM,0 0,0 0,1013.1,0.0,2023-12-28
6:00 am,14.1,14.9,91,CALM,0 0,0 0,1012.7,0.0,2023-12-28
5:30 am,13.7,14.0,90,ENE,2 1,7 4,1012.7,0.0,2023-12-28
5:00 am,14.2,13.9,91,SE,6 3,7 4,1012.3,0.0,2023-12-28
4:30 am,14.3,15.2,91,CALM,0 0,0 0,1012.7,0.0,2023-12-28
4:00 am,14.3,15.2,92,CALM,0 0,0 0,1012.8,0.0,2023-12-28
3:30 am,14.0,14.7,89,CALM,0 0,0 0,1012.5,0.0,2023-12-28
3:00 am,14.6,15.6,91,CALM,0 0,0 0,1012.7,0.0,2023-12-28
2:30 am,14.7,15.6,89,CALM,0 0,0 0,1012.7,0.0,2023-12-28
2:00 am,14.3,15.1,89,CALM,0 0,0 0,1013.1,0.0,2023-12-28
1:30 am,14.5,15.3,89,CALM,0 0,0 0,1013.4,0.0,2023-12-28
1:00 am,14.9,15.8,88,CALM,0 0,0 0,1013.6,0.0,2023-12-28
12:30 am,15.0,15.8,86,CALM,0 0,0 0,1013.9,0.0,2023-12-28
12:00 am,15.7,16.6,84,CALM,0 0,0 0,1013.7,0.0,2023-12-28
