Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
5:30 am,15.4,15.0,92,W,9 5,20 11,1001.1,12.2,2023-04-15
5:09 am,15.4,15.1,94,WNW,9 5,15 8,1001.2,12.2,2023-04-15
5:00 am,15.4,14.7,94,WNW,11 6,17 9,1001.1,11.8,2023-04-15
4:48 am,15.3,14.7,95,W,11 6,20 11,1001.0,11.4,2023-04-15
4:45 am,15.3,15.1,96,WNW,9 5,17 9,1000.8,11.2,2023-04-15
4:30 am,15.0,13.9,95,NW,13 7,24 13,1000.7,11.2,2023-04-15
4:00 am,15.8,13.9,97,NNW,19 10,30 16,1000.0,7.6,2023-04-15
3:30 am,16.0,14.0,94,NNW,19 10,32 17,1000.0,5.0,2023-04-15
3:13 am,16.2,14.1,93,N,20 11,32 17,1000.3,4.8,2023-04-15
3:06 am,16.2,14.3,93,N,19 10,32 17,1000.6,4.4,2023-04-15
3:00 am,16.2,14.6,93,NNW,17 9,32 17,1000.8,4.2,2023-04-15
2:45 am,16.0,14.8,94,N,15 8,26 14,1000.5,4.0,2023-04-15
2:30 am,15.9,14.2,93,N,17 9,32 17,1000.7,3.8,2023-04-15
2:05 am,15.9,13.8,92,N,19 10,35 19,1001.4,2.6,2023-04-15
2:00 am,15.8,13.6,91,NNE,19 10,35 19,1001.0,2.6,2023-04-15
1:43 am,15.6,13.8,93,NNE,17 9,32 17,1001.3,2.4,2023-04-15
1:35 am,15.6,14.1,92,NNE,15 8,22 12,1001.6,2.4,2023-04-15
1:30 am,15.5,14.1,93,NNE,15 8,22 12,1001.9,2.4,2023-04-15
1:17 am,15.5,14.1,93,NNE,15 8,22 12,1001.8,2.2,2023-04-15
1:00 am,15.4,13.9,93,NNE,15 8,26 14,1001.8,2.2,2023-04-15
12:30 am,15.3,13.4,93,N,17 9,32 17,1002.0,2.0,2023-04-15
12:29 am,15.3,13.4,93,N,17 9,32 17,1002.0,1.8,2023-04-15
12:00 am,15.4,13.5,92,NNE,17 9,24 13,1002.1,1.6,2023-04-15
