Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,13.0,12.3,93,N,7 4,13 7,1020.0,0.2,2023-07-28
11:00 pm,12.9,12.3,93,NNE,6 3,9 5,1020.0,0.2,2023-07-28
10:30 pm,13.2,12.5,92,NNE,7 4,13 7,1020.2,0.2,2023-07-28
10:00 pm,13.2,12.5,92,N,7 4,11 6,1020.3,0.2,2023-07-28
9:30 pm,13.4,12.3,90,N,9 5,13 7,1020.3,0.2,2023-07-28
9:00 pm,13.7,13.2,89,NNE,6 3,11 6,1020.1,0.2,2023-07-28
8:30 pm,13.6,13.5,90,N,4 2,7 4,1020.1,0.2,2023-07-28
8:00 pm,13.8,13.0,88,NNE,7 4,9 5,1020.1,0.0,2023-07-28
7:30 pm,13.7,12.6,89,NE,9 5,11 6,1019.9,0.0,2023-07-28
7:00 pm,13.8,12.6,87,NE,9 5,15 8,1019.6,0.0,2023-07-28
6:30 pm,13.9,12.7,86,NE,9 5,15 8,1019.4,0.0,2023-07-28
6:00 pm,14.2,13.0,84,NNE,9 5,13 7,1019.1,0.0,2023-07-28
