Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,17.0,16.4,85,N,11 6,–,1026.4,–,2024-05-16
11:00 pm,17.0,15.9,84,N,13 7,–,1026.7,–,2024-05-16
10:30 pm,17.0,15.5,83,N,15 8,–,1027.0,–,2024-05-16
10:00 pm,17.2,16.5,83,N,11 6,–,1027.2,–,2024-05-16
9:30 pm,16.9,16.6,85,N,9 5,–,1027.3,–,2024-05-16
9:00 pm,17.1,17.4,84,N,6 3,–,1027.4,0.0,2024-05-16
8:30 pm,17.1,18.2,85,N,2 1,–,1027.5,–,2024-05-16
8:00 pm,17.3,18.0,84,NE,4 2,–,1027.5,–,2024-05-16
7:30 pm,17.4,18.2,84,NE,4 2,–,1027.4,–,2024-05-16
7:00 pm,17.3,18.5,85,N,2 1,–,1027.3,–,2024-05-16
6:30 pm,17.5,18.7,85,N,2 1,–,1027.4,–,2024-05-16
