Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,11.9,10.3,77,ENE,6 3,11 6,1031.1,0.0,2025-05-01
11:00 pm,11.0,10.5,80,CALM,0 0,0 0,1031.3,0.0,2025-05-01
10:30 pm,11.5,11.1,80,CALM,0 0,0 0,1031.5,0.0,2025-05-01
10:00 pm,12.6,11.8,74,SE,2 1,9 5,1031.6,0.0,2025-05-01
9:30 pm,13.7,11.3,71,ESE,11 6,17 9,1031.7,0.0,2025-05-01
9:00 pm,13.9,11.5,70,ESE,11 6,19 10,1031.5,0.0,2025-05-01
8:30 pm,13.9,11.0,69,ESE,13 7,20 11,1031.4,0.0,2025-05-01
8:00 pm,14.5,11.8,63,ESE,11 6,17 9,1031.4,0.0,2025-05-01
7:30 pm,14.1,11.8,56,SE,7 4,11 6,1031.1,0.0,2025-05-01
7:00 pm,14.5,12.2,53,SE,6 3,9 5,1030.7,0.0,2025-05-01
6:30 pm,16.7,14.2,45,ESE,7 4,11 6,1030.3,0.0,2025-05-01
6:00 pm,17.4,14.5,42,ESE,9 5,13 7,1030.1,0.0,2025-05-01
