Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,21.7,22.5,76,S,9 5,17 9,1019.4,0.0,2025-02-25
11:00 pm,21.8,21.7,74,SSE,13 7,20 11,1019.6,0.0,2025-02-25
10:30 pm,21.9,21.7,73,SSE,13 7,28 15,1019.1,0.0,2025-02-25
10:00 pm,21.9,21.7,73,SSE,13 7,28 15,1019.3,0.0,2025-02-25
9:30 pm,21.7,22.4,75,S,9 5,15 8,1019.9,0.0,2025-02-25
9:00 pm,22.1,21.9,72,S,13 7,20 11,1020.0,0.0,2025-02-25
8:30 pm,22.3,22.9,71,SSW,9 5,17 9,1020.3,0.0,2025-02-25
8:00 pm,22.4,22.2,70,SSW,13 7,26 14,1020.1,0.0,2025-02-25
7:30 pm,22.3,22.4,70,SSW,11 6,20 11,1019.6,0.0,2025-02-25
7:00 pm,22.5,21.3,67,SW,17 9,28 15,1019.1,0.0,2025-02-25
6:30 pm,23.1,21.3,62,SW,19 10,32 17,1018.5,0.0,2025-02-25
6:00 pm,23.2,22.0,64,SW,17 9,28 15,1018.1,0.0,2025-02-25
5:30 pm,24.4,22.9,61,SSW,19 10,32 17,1017.9,0.0,2025-02-25
5:00 pm,24.5,23.5,61,SSW,17 9,26 14,1017.8,0.0,2025-02-25
4:30 pm,24.6,23.4,59,SW,17 9,28 15,1017.7,0.0,2025-02-25
