Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 am,19.7,20.8,82,SSW,6 3,9 5,1018.0,0.8,2025-01-05
5:30 am,19.1,20.8,88,SSW,4 2,9 5,1017.8,0.8,2025-01-05
5:00 am,18.9,20.3,85,SW,4 2,9 5,1017.5,0.8,2025-01-05
4:30 am,19.2,20.3,85,SW,6 3,9 5,1017.2,0.8,2025-01-05
4:00 am,19.3,20.7,84,SW,4 2,9 5,1017.0,0.8,2025-01-05
3:30 am,19.0,20.8,85,WSW,2 1,6 3,1017.0,0.8,2025-01-05
3:00 am,19.3,20.7,84,WSW,4 2,6 3,1017.2,0.8,2025-01-05
2:30 am,19.5,21.0,84,WSW,4 2,7 4,1017.2,0.8,2025-01-05
2:00 am,19.6,21.6,85,WSW,2 1,6 3,1017.3,0.8,2025-01-05
1:30 am,19.7,21.7,84,SSW,2 1,6 3,1017.5,0.8,2025-01-05
1:00 am,18.8,21.2,90,CALM,0 0,2 1,1017.7,0.8,2025-01-05
12:30 am,18.8,21.2,89,CALM,0 0,0 0,1018.0,0.8,2025-01-05
12:00 am,18.9,21.2,87,CALM,0 0,0 0,1018.3,0.8,2025-01-05
