Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,8.1,6.1,95,NNE,7 4,11 6,1023.5,9.2,2024-05-31
11:00 pm,7.6,6.6,98,NE,2 1,6 3,1023.3,9.2,2024-05-31
10:52 pm,7.9,7.4,99,CALM,0 0,0 0,1023.3,9.2,2024-05-31
10:30 pm,7.7,7.1,98,CALM,0 0,0 0,1023.1,9.2,2024-05-31
10:22 pm,7.9,7.3,98,CALM,0 0,0 0,1023.0,9.2,2024-05-31
10:00 pm,8.4,8.0,99,CALM,0 0,0 0,1022.8,9.2,2024-05-31
9:30 pm,8.5,7.3,97,ENE,4 2,6 3,1022.5,9.2,2024-05-31
9:00 pm,8.6,7.0,96,ENE,6 3,7 4,1022.3,9.2,2024-05-31
8:30 pm,9.2,8.4,94,NE,2 1,7 4,1021.9,9.2,2024-05-31
8:00 pm,10.5,9.1,90,ENE,6 3,11 6,1021.6,9.0,2024-05-31
7:30 pm,11.2,9.4,89,NE,9 5,13 7,1021.0,9.0,2024-05-31
7:00 pm,11.3,9.4,87,ENE,9 5,13 7,1020.6,9.0,2024-05-31
6:30 pm,11.2,9.3,87,NE,9 5,13 7,1020.1,9.0,2024-05-31
6:00 pm,11.4,10.2,93,NE,7 4,11 6,1019.6,9.0,2024-05-31
