Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,11.0,7.9,69,NE,11 6,17 9,1027.7,–,2023-07-11
11:00 pm,11.5,8.0,67,NE,13 7,19 10,1027.6,–,2023-07-11
10:30 pm,11.7,8.3,67,NE,13 7,17 9,1027.5,–,2023-07-11
10:00 pm,11.7,8.3,67,NE,13 7,17 9,1027.4,–,2023-07-11
9:30 pm,11.7,8.7,67,NE,11 6,17 9,1027.5,–,2023-07-11
9:00 pm,11.4,8.8,70,NE,9 5,13 7,1027.9,0.0,2023-07-11
8:30 pm,11.6,8.7,71,NE,11 6,17 9,1027.8,–,2023-07-11
8:00 pm,12.0,9.9,70,NE,7 4,11 6,1028.0,–,2023-07-11
7:30 pm,11.8,9.7,70,NE,7 4,11 6,1028.0,–,2023-07-11
7:00 pm,11.9,9.8,67,NNE,6 3,9 5,1028.0,–,2023-07-11
6:30 pm,12.3,10.3,66,N,6 3,9 5,1028.0,–,2023-07-11
6:00 pm,12.7,10.7,64,NNW,6 3,7 4,1028.0,–,2023-07-11
5:30 pm,13.5,11.3,61,NW,7 4,11 6,1027.7,–,2023-07-11
5:00 pm,14.8,11.9,57,NW,11 6,19 10,1027.5,–,2023-07-11
4:30 pm,15.2,11.4,54,WNW,15 8,24 13,1027.5,–,2023-07-11
4:00 pm,16.0,12.2,51,NW,15 8,20 11,1027.4,–,2023-07-11
3:30 pm,16.2,12.5,52,NW,15 8,24 13,1027.3,–,2023-07-11
3:00 pm,16.0,11.8,50,NW,17 9,26 14,1027.4,–,2023-07-11
2:30 pm,15.5,11.4,53,WNW,17 9,26 14,1027.3,0.0,2023-07-11
2:00 pm,16.4,12.7,51,NW,15 8,22 12,1027.3,0.0,2023-07-11
1:30 pm,16.3,13.5,60,N,13 7,19 10,1027.4,0.0,2023-07-11
1:00 pm,16.1,13.2,59,NNW,13 7,20 11,1027.5,0.0,2023-07-11
12:30 pm,15.9,13.1,61,N,13 7,19 10,1027.8,0.0,2023-07-11
12:00 pm,15.6,13.0,60,N,11 6,17 9,1028.3,0.0,2023-07-11
11:30 am,15.1,12.3,65,N,13 7,22 12,1028.7,0.0,2023-07-11
11:00 am,14.5,11.9,64,N,11 6,15 8,1029.0,0.0,2023-07-11
10:30 am,13.9,10.8,65,N,13 7,20 11,1029.3,0.0,2023-07-11
10:00 am,13.4,10.5,64,N,11 6,20 11,1029.5,0.0,2023-07-11
9:30 am,12.9,10.1,67,N,11 6,17 9,1029.3,0.0,2023-07-11
9:00 am,12.1,9.7,70,NNE,9 5,13 7,1029.1,0.0,2023-07-11
8:30 am,12.5,9.2,67,NNE,13 7,17 9,1029.0,0.0,2023-07-11
8:00 am,12.1,9.6,69,NNE,9 5,15 8,1028.7,0.0,2023-07-11
7:30 am,11.8,9.3,70,NNE,9 5,17 9,1028.4,0.0,2023-07-11
7:00 am,11.8,9.3,71,NE,9 5,17 9,1028.2,0.0,2023-07-11
6:30 am,11.7,8.8,71,NE,11 6,17 9,1028.0,0.0,2023-07-11
6:00 am,11.6,8.7,71,NNE,11 6,19 10,1027.7,0.0,2023-07-11
5:30 am,11.6,8.7,72,NNE,11 6,17 9,1027.5,0.0,2023-07-11
5:00 am,11.5,8.6,72,NNE,11 6,15 8,1027.4,0.0,2023-07-11
4:30 am,11.4,8.5,73,NNE,11 6,17 9,1027.0,0.0,2023-07-11
4:00 am,11.4,9.0,74,NNE,9 5,15 8,1026.9,0.0,2023-07-11
3:30 am,11.3,8.9,75,NNE,9 5,13 7,1026.9,0.0,2023-07-11
3:00 am,11.1,8.7,76,NNE,9 5,17 9,1026.8,0.0,2023-07-11
2:30 am,11.1,8.3,76,NNE,11 6,17 9,1026.8,0.0,2023-07-11
2:00 am,10.9,8.2,79,NNE,11 6,17 9,1026.7,0.0,2023-07-11
1:30 am,11.4,9.7,82,NNE,7 4,15 8,1026.6,0.0,2023-07-11
1:00 am,11.8,10.3,81,N,6 3,9 5,1026.6,0.0,2023-07-11
12:30 am,11.8,9.7,78,NE,9 5,11 6,1026.4,0.0,2023-07-11
12:00 am,12.1,10.5,79,N,7 4,11 6,1026.6,0.0,2023-07-11
