Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 am,6.7,3.3,82,NNW,11 6,15 8,1025.4,0.0,2025-05-13
5:30 am,7.2,4.6,82,W,7 4,11 6,1025.4,0.0,2025-05-13
5:00 am,7.3,3.6,82,NW,13 7,19 10,1025.4,0.0,2025-05-13
4:30 am,6.8,3.0,82,NNW,13 7,15 8,1025.5,0.0,2025-05-13
4:00 am,7.0,3.6,81,WSW,11 6,15 8,1025.5,0.0,2025-05-13
3:30 am,7.4,4.0,80,NNW,11 6,13 7,1025.8,0.0,2025-05-13
3:00 am,7.5,3.8,80,WSW,13 7,19 10,1026.0,0.0,2025-05-13
2:30 am,7.2,3.9,82,NW,11 6,15 8,1026.0,0.0,2025-05-13
2:00 am,7.4,4.8,81,NW,7 4,11 6,1026.0,0.0,2025-05-13
1:30 am,7.6,5.0,79,W,7 4,9 5,1026.0,0.0,2025-05-13
1:00 am,8.0,5.4,78,WNW,7 4,9 5,1026.2,0.0,2025-05-13
12:30 am,7.8,4.1,78,WNW,13 7,17 9,1026.2,0.0,2025-05-13
12:00 am,8.1,5.2,78,W,9 5,13 7,1026.3,0.0,2025-05-13
