Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,25.7,23.4,26,ENE,6 3,9 5,1014.3,0.0,2025-02-21
11:00 pm,25.5,22.7,27,ENE,9 5,13 7,1014.4,0.0,2025-02-21
10:30 pm,23.8,22.3,33,NE,4 2,9 5,1014.6,0.0,2025-02-21
10:00 pm,24.8,24.1,32,CALM,0 0,0 0,1014.6,0.0,2025-02-21
9:30 pm,27.2,24.7,24,ESE,7 4,15 8,1014.5,0.0,2025-02-21
9:00 pm,27.2,24.9,25,SSE,7 4,13 7,1014.2,0.0,2025-02-21
8:30 pm,27.1,25.0,27,SSW,7 4,11 6,1014.0,0.0,2025-02-21
8:00 pm,28.6,26.4,23,S,6 3,11 6,1013.9,0.0,2025-02-21
7:30 pm,29.9,27.5,21,S,7 4,13 7,1014.0,0.0,2025-02-21
7:00 pm,31.2,28.0,19,S,11 6,17 9,1013.9,0.0,2025-02-21
6:30 pm,31.8,29.6,20,SSW,7 4,13 7,1014.1,0.0,2025-02-21
6:00 pm,31.0,28.1,19,SSW,9 5,15 8,1014.4,0.0,2025-02-21
5:30 pm,30.5,27.2,19,SW,11 6,20 11,1014.8,0.0,2025-02-21
5:00 pm,30.8,26.4,19,WSW,17 9,24 13,1014.7,0.0,2025-02-21
4:30 pm,30.9,27.0,20,WSW,15 8,24 13,1014.8,0.0,2025-02-21
4:00 pm,30.9,26.5,19,WSW,17 9,24 13,1015.1,0.0,2025-02-21
3:30 pm,30.5,26.5,20,SW,15 8,22 12,1015.5,0.0,2025-02-21
3:00 pm,30.1,25.8,21,WSW,17 9,24 13,1015.8,0.0,2025-02-21
2:30 pm,30.5,26.4,22,WSW,17 9,26 14,1016.0,0.0,2025-02-21
2:00 pm,31.1,27.9,22,WSW,13 7,20 11,1016.2,0.0,2025-02-21
1:30 pm,30.2,27.1,24,W,13 7,20 11,1016.6,0.0,2025-02-21
1:00 pm,29.2,26.4,30,WSW,15 8,24 13,1017.0,0.0,2025-02-21
12:30 pm,29.4,27.5,31,WSW,11 6,20 11,1017.4,0.0,2025-02-21
12:00 pm,29.4,26.1,21,N,11 6,17 9,1017.8,0.0,2025-02-21
11:30 am,28.5,26.4,25,N,7 4,17 9,1018.2,0.0,2025-02-21
11:00 am,28.1,27.0,29,NNW,4 2,11 6,1018.6,0.0,2025-02-21
10:30 am,26.3,23.7,31,NE,11 6,17 9,1018.8,0.0,2025-02-21
10:00 am,24.8,21.6,32,NNE,13 7,20 11,1019.0,0.0,2025-02-21
9:30 am,24.3,22.7,37,NE,7 4,13 7,1018.9,0.0,2025-02-21
9:00 am,22.0,20.5,44,NE,7 4,11 6,1018.7,0.0,2025-02-21
8:30 am,19.2,19.4,57,CALM,0 0,0 0,1019.0,0.0,2025-02-21
8:00 am,17.2,17.8,71,CALM,0 0,0 0,1019.1,0.0,2025-02-21
7:30 am,14.1,13.5,72,W,2 1,6 3,1019.0,0.0,2025-02-21
7:00 am,13.5,13.3,74,CALM,0 0,0 0,1018.6,0.0,2025-02-21
