Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,19.0,19.8,72,NE,2 1,7 4,1015.1,0.0,2024-10-21
11:00 pm,18.2,19.8,81,CALM,0 0,0 0,1015.2,0.0,2024-10-21
10:30 pm,19.2,20.7,75,CALM,0 0,6 3,1015.3,0.0,2024-10-21
10:00 pm,18.8,20.5,79,CALM,0 0,0 0,1015.5,0.0,2024-10-21
9:30 pm,19.5,20.9,73,CALM,0 0,0 0,1015.9,0.0,2024-10-21
9:00 pm,20.9,22.3,67,CALM,0 0,0 0,1015.6,0.0,2024-10-21
8:30 pm,22.4,23.2,58,ESE,2 1,7 4,1015.2,0.0,2024-10-21
8:00 pm,22.3,23.4,58,CALM,0 0,6 3,1014.9,0.0,2024-10-21
7:30 pm,24.7,25.4,49,N,2 1,9 5,1014.6,0.0,2024-10-21
