Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,8.8,6.0,67,NE,7 4,9 5,1033.4,0.0,2024-07-30
11:00 pm,9.8,6.6,62,ENE,9 5,13 7,1033.5,0.0,2024-07-30
10:30 pm,8.8,6.1,71,NE,7 4,9 5,1033.7,0.0,2024-07-30
10:00 pm,6.5,5.1,83,CALM,0 0,0 0,1033.8,0.0,2024-07-30
9:30 pm,7.1,5.7,79,CALM,0 0,6 3,1033.9,0.0,2024-07-30
9:00 pm,7.8,5.7,76,ENE,4 2,7 4,1033.9,0.0,2024-07-30
8:30 pm,7.6,6.3,78,CALM,0 0,6 3,1033.7,0.0,2024-07-30
8:00 pm,8.7,7.4,73,CALM,0 0,0 0,1033.7,0.0,2024-07-30
7:30 pm,8.5,7.2,73,CALM,0 0,0 0,1033.6,0.0,2024-07-30
7:00 pm,9.0,6.4,67,SE,6 3,9 5,1033.4,0.0,2024-07-30
6:30 pm,9.9,8.2,58,CALM,0 0,0 0,1033.3,0.0,2024-07-30
6:00 pm,10.6,8.5,55,S,2 1,6 3,1033.0,0.0,2024-07-30
