Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:30 am,23.2,24.0,65,NNE,7 4,11 6,1008.1,0.0,2024-03-18
6:00 am,23.1,23.9,66,NNE,7 4,13 7,1007.8,0.0,2024-03-18
5:30 am,23.5,24.0,65,NE,9 5,15 8,1007.7,0.0,2024-03-18
5:00 am,23.1,23.6,67,NE,9 5,13 7,1007.6,0.0,2024-03-18
4:30 am,23.2,23.5,68,NE,11 6,17 9,1007.6,0.0,2024-03-18
4:00 am,23.2,23.5,68,NNE,11 6,15 8,1007.5,0.0,2024-03-18
3:30 am,23.6,23.9,67,NE,11 6,17 9,1007.5,0.0,2024-03-18
3:00 am,23.7,23.6,66,NE,13 7,22 12,1007.4,0.0,2024-03-18
2:30 am,24.0,24.0,66,NE,13 7,20 11,1007.4,0.0,2024-03-18
2:00 am,24.6,24.6,63,NE,13 7,22 12,1007.5,0.0,2024-03-18
1:30 am,24.7,25.1,63,NE,11 6,19 10,1007.8,0.0,2024-03-18
1:00 am,24.7,24.7,63,NE,13 7,20 11,1007.9,0.0,2024-03-18
12:30 am,25.1,24.3,61,NE,17 9,22 12,1008.0,0.0,2024-03-18
12:00 am,24.6,25.2,62,NE,9 5,13 7,1008.0,0.0,2024-03-18
