Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:30 am,22.5,19.4,37,ENE,13 7,15 8,1016.8,0.0,2024-02-19
6:00 am,19.8,17.8,36,E,4 2,9 5,1017.0,0.0,2024-02-19
5:30 am,18.8,17.3,35,CALM,0 0,0 0,1017.0,0.0,2024-02-19
5:00 am,17.9,15.8,39,SSE,4 2,7 4,1017.3,0.0,2024-02-19
4:30 am,18.4,16.2,36,NE,4 2,7 4,1017.3,0.0,2024-02-19
4:00 am,18.5,16.9,34,CALM,0 0,0 0,1017.4,0.0,2024-02-19
3:30 am,18.4,16.8,34,CALM,0 0,6 3,1017.3,0.0,2024-02-19
3:00 am,18.8,16.4,33,WSW,4 2,9 5,1017.2,0.0,2024-02-19
2:30 am,17.9,16.3,35,CALM,0 0,0 0,1017.6,0.0,2024-02-19
2:00 am,19.6,17.9,30,CALM,0 0,6 3,1018.0,0.0,2024-02-19
1:30 am,19.9,17.0,29,SSE,6 3,11 6,1018.2,0.0,2024-02-19
1:00 am,20.8,17.6,26,E,7 4,9 5,1018.2,0.0,2024-02-19
12:30 am,21.6,18.6,28,SE,7 4,11 6,1018.2,0.0,2024-02-19
12:00 am,21.8,19.8,23,CALM,0 0,7 4,1018.3,0.0,2024-02-19
